광역자치단체,기초자치단체,상호,업태,도로명주소,위도,경도,총 매장면적(제곱미터),판매면적(제곱미터),용역제공면적(제곱미터),실제 영업개시일
부산광역시,사상구,홈플러스 서부산점,대형마트,부산광역시 사상구 광장로 7(괘법동),35.16433176,128.9777197,10311,10146,165,1999-01-08
부산광역시,사상구,이마트 사상점,대형마트,부산광역시 사상구 광장로 17(괘법동),35.16423213,128.9788930,17652,17192,460,2005-04-06
부산광역시,사상구,롯데마트 사상점,대형마트,부산광역시 사상구 낙동대로 733(엄궁동),35.12759375,128.9683596,14645,14468,177,2006-05-16
부산광역시,기장군,메가마트 기장점,대형마트,부산광역시 기장군 일광면 기장대로 673(삼성리),35.25469204,129.2218562,7372,6620,752,2010-06-15
부산광역시,기장군,홈플러스 부산정관점,대형마트,부산광역시 기장군 정관면 정관5로 50(매학리),35.32305178,129.1763857,7557,5868,1689,2010-12-30
부산광역시,중구,롯데백화점 광복점,백화점,부산광역시 중구 중앙대로 2(중앙동7가),35.09830894,129.0367048,104322,61916,42406,2009-12-17
부산광역시,동구,현대백화점 부산점,백화점,부산광역시 동구 범일로 125(범일동),35.14130573,129.0585722,58892,57877,1015,1995-08-24
부산광역시,부산진구,롯데백화점 부산본점,백화점,부산광역시 부산진구 가야대로 772(부전동),35.15679253,129.0564133,101059,86240,14819,1995-12-08
부산광역시,동래구,롯데백화점 동래점,백화점,부산광역시 동래구 중앙대로 1393(온천동),35.21170859,129.0774768,29893,29893,,2001-09-17
부산광역시,해운대구,NC백화점 해운대점,백화점,부산광역시 해운대구 해운대로 813 (좌동),35.17057874,129.1770697,30009,24157,5852,2006-01-23
부산광역시,해운대구,롯데백화점 센텀시티점,백화점,부산광역시 해운대구 센텀남대로 59 (우동),35.16985471,129.1310752,33739,33739,,2007-10-31
부산광역시,해운대구,신세계백화점 센텀시티점,백화점,부산광역시 해운대구 센텀남대로 35 (우동),35.16863843,129.1290824,139892,135626,4266,2009-02-28
부산광역시,중구,롯데전문점 광복점,전문점,부산광역시 중구 중앙대로 2(중앙동7가),35.09830894,129.0367048,3331,3200,131,2014-08-28
부산광역시,부산진구,서면전자랜드,전문점,부산광역시 부산진구 서전로 2(부전동) ,35.15755485,129.0599464,3563,3563,,1995-06-07
부산광역시,남구,다보네가구,전문점,부산광역시 남구 이기대공원로 450(용호동),35.10826427,129.1134178,3669,3579,90,2015-02-14
부산광역시 ,강서구,부산T-plex산업용품단지,전문점,부산광역시  강서구 유통단지1로 41(대저2동),35.16729305,128.9557020,97127,52030,45097,2013-04-30
부산광역시,강서구,BMCO,전문점,부산광역시 강서구 유통단지1로 76(대저2동),35.16698214,128.9516916,53531,53009,522,2013-12-31
부산광역시 ,강서구,부산 자동차부품 유통단지,전문점,부산광역시  강서구 유통단지1로57번길34(대저2동),35.16420273,128.9532289,68225,19650,48576,2014-12-01
부산광역시,기장군,부산프리미엄아울렛,전문점,부산광역시 기장군 장안읍 정관로 1133(좌천리),35.32372898,129.2349491,32083,32083,,2013-08-16
부산광역시,기장군,힐탑 프리미엄 아울렛,전문점,부산광역시 기장군 장안읍 정관로 1142(좌천리),35.32111818,129.2355252,9474,8616,858,2015-12-11
부산광역시,기장군,이케아동부산점,전문점,부산광역시 기장군 기장읍 동부산관광3로 17(당사리),35.19028869,129.2102724,22654,20145,2508,2019-12-31
부산광역시,부산진구,누리엔,쇼핑센터,부산광역시 부산진구 자유평화로 11(범천동),35.14174242,129.0612006,15286,15286,,1998-12-15
부산광역시,부산진구,NC백화점 서면점,쇼핑센터,부산광역시 부산진구 동천로 92(전포동),35.15703218,129.0630128,33480,31044,2436,2000-09-01
부산광역시,동래구,에스케이허브스카이위아,쇼핑센터,부산광역시 동래구 중앙대로 1523(온천동),35.22128992,129.0855783,15651,15651,,2007-04-17
부산광역시,남구,W 스퀘어,쇼핑센터,부산광역시 남구 분포로 145(용호동),35.13422660,129.1112149,41762,40638,1124,2018-03-01
부산광역시,남구,IFC부산 오슬로파크,쇼핑센터,부산광역시 남구 전포대로 133(문현동),35.14828501,129.0654779,24081,11770,12311,2019-06-30
부산광역시,남구,비아이에프씨몰,쇼핑센터,부산광역시 남구 문현금융로 40(문현동),35.14648787,129.0658605,9644,5661,3983,2014-09-01
부산광역시,북구,덕천지하상가 태아쇼핑,쇼핑센터,부산광역시 북구 만덕대로 지하 39(덕천동),35.21120316,129.0096718,4786,4786,,2008-08-29
부산광역시,북구,뉴코아아울렛 덕천점,쇼핑센터,부산광역시 북구 만덕대로 23(덕천동),35.21110330,129.0075948,7654,5149,2504,2010-05-04
부산광역시,해운대구,화목데파트상가,쇼핑센터,부산광역시 해운대구 대천로 187 (좌동),35.17149402,129.1793443,4159,4159,,1998-08-03
부산광역시,해운대구,세이브존리베라,쇼핑센터,부산광역시 해운대구 구남로29번길 21 (중동),35.16250906,129.1614547,16491,16491,,2003-03-08
