,상호명,상권업종중분류명,표준산업분류명,도로명주소,시군구명,경도,위도,Dbscan_50m,Dbscan_100m
38268,카페부바스달맞이점,커피점/카페,비알콜 음료점업,부산광역시 해운대구 달맞이길 193,해운대구,129.182349954107,35.1583235853918,-1,-1
38284,더리터,커피점/카페,비알콜 음료점업,부산광역시 사상구 사상로433번길 35,사상구,128.984361747643,35.1833681239718,-1,-1
38327,커피스토리,커피점/카페,비알콜 음료점업,부산광역시 강서구 녹산화전로 275,강서구,128.872305294842,35.111320921666,-1,-1
38342,슈가프룻,커피점/카페,비알콜 음료점업,부산광역시 수영구 연수로269번길 22,수영구,129.100372917005,35.1747079177084,-1,-1
38343,엔제리너스,커피점/카페,비알콜 음료점업,부산광역시 중구 비프광장로 36,중구,129.028782428049,35.098637146011,1,1
38347,153카페,커피점/카페,비알콜 음료점업,부산광역시 사상구 모라로110번길 40-47,사상구,128.993422428174,35.1835916057596,-1,-1
38367,어바웃제이,커피점/카페,비알콜 음료점업,부산광역시 수영구 수영로408번길 29,수영구,129.109740301302,35.1418029546263,0,0
38391,쥬씨공항마을점,커피점/카페,비알콜 음료점업,부산광역시 강서구 공항로811번가길 7,강서구,128.95706660606,35.1795846770758,-1,-1
38407,더벤티영도대교점,커피점/카페,비알콜 음료점업,부산광역시 영도구 태종로 107,영도구,129.042727919528,35.0912977745963,1,-1
38427,프롬핸즈,커피점/카페,비알콜 음료점업,부산광역시 해운대구 재반로63번길 28,해운대구,129.125521081835,35.1848788009299,-1,-1
38434,시스테이블,커피점/카페,비알콜 음료점업,부산광역시 수영구 광안해변로307번길 25-2,수영구,129.126349696326,35.1581901485094,0,-1
38451,플라스틱,커피점/카페,비알콜 음료점업,부산광역시 부산진구 서전로37번길 18,부산진구,129.064011941311,35.1585733900112,10,3
38461,에프씨커피,커피점/카페,비알콜 음료점업,부산광역시 영도구 남항남로 16-1,영도구,129.03597307545,35.0852892221711,1,-1
38480,어벤더치커피,커피점/카페,비알콜 음료점업,부산광역시 서구 구덕로185번길 34-27,서구,129.017909020639,35.1018297541759,1,-1
38483,클라우드밤,커피점/카페,비알콜 음료점업,부산광역시 중구 비프광장로 12-1,중구,129.026673307051,35.0983755889212,1,1
38494,고토,커피점/카페,비알콜 음료점업,부산광역시 북구 만덕대로142번길 21,북구,129.020437393686,35.2121483988798,-1,-1
38513,베러먼데이,커피점/카페,비알콜 음료점업,부산광역시 수영구 수영로 631,수영구,129.113760604959,35.1622275668773,0,-1
38530,더벤티,커피점/카페,비알콜 음료점업,부산광역시 남구 수영로 264,남구,129.095586035251,35.1353786389058,0,0
38555,메가커피,커피점/카페,비알콜 음료점업,부산광역시 동래구 명장로48번길 14,동래구,129.106118771379,35.2041939020566,-1,-1
38595,꿈,커피점/카페,비알콜 음료점업,부산광역시 중구 해관로 84-1,중구,129.035604210344,35.1064212716091,1,1
38597,7080산울림LIVE,커피점/카페,비알콜 음료점업,부산광역시 부산진구 새싹로 279,부산진구,129.047088491731,35.1809491563869,-1,-1
38607,커피칼리스,커피점/카페,비알콜 음료점업,부산광역시 영도구 태종로 56-1,영도구,129.03705826781,35.0930500518735,1,-1
38608,설빙,커피점/카페,비알콜 음료점업,부산광역시 부산진구 가야대로 479,부산진구,129.024632307343,35.15348643642,-1,-1
38610,더카페,커피점/카페,비알콜 음료점업,부산광역시 부산진구 새싹로266번길 10,부산진구,129.048115293532,35.179687343003,-1,-1
38613,AngelInUsCoffee,커피점/카페,비알콜 음료점업,부산광역시 동구 중앙대로 206,동구,129.045081835992,35.117625470822,1,-1
38623,드롭탑,커피점/카페,비알콜 음료점업,부산광역시 기장군 장안읍 정관로 1133,기장군,129.234970505052,35.3237482824346,-1,-1
38645,CMM,커피점/카페,비알콜 음료점업,부산광역시 연제구 신금로 25,연제구,129.094396989622,35.191617958572,7,-1
38663,에이엠아홉시커피,커피점/카페,비알콜 음료점업,부산광역시 수영구 수영로725번길 35,수영구,129.116844626291,35.1686260514393,0,-1
38664,서정다방,커피점/카페,비알콜 음료점업,부산광역시 중구 구덕로 63,중구,129.028957085434,35.0976982038752,1,1
38697,필름베네딕트,커피점/카페,비알콜 음료점업,부산광역시 해운대구 센텀중앙로 48,해운대구,129.129880730793,35.1730391168348,5,4
38701,스타벅스,커피점/카페,비알콜 음료점업,부산광역시 남구 신선로 423,남구,129.098943540848,35.1231163443511,-1,-1
38757,멘토즈북카페러리,커피점/카페,비알콜 음료점업,부산광역시 연제구 해맞이로31번길 58,연제구,129.065232704238,35.1789611195046,-1,-1
38759,청년다방,커피점/카페,비알콜 음료점업,부산광역시 동래구 안락로 137-1,동래구,129.112067356172,35.1990916829988,-1,-1
38768,시나몬하우스앤카페,커피점/카페,비알콜 음료점업,부산광역시 기장군 기장읍 공수해안길 15,기장군,129.211352150628,35.1845194410258,-1,-1
38770,백설공주,커피점/카페,비알콜 음료점업,부산광역시 부산진구 서전로68번길 104,부산진구,129.067190523619,35.1531911656756,10,3
38797,올리브8030,커피점/카페,비알콜 음료점업,부산광역시 동구 범일로 106,동구,129.059703096314,35.1394655585634,10,-1
38816,리프패럿,커피점/카페,비알콜 음료점업,부산광역시 강서구 신호산단4로64번가길 127,강서구,128.880486396708,35.0815150033112,-1,-1
38830,큐티카페,커피점/카페,비알콜 음료점업,부산광역시 해운대구 우동3로11번길 41-8,해운대구,129.162268186879,35.1709389323076,-1,-1
38882,스타벅스부산재송DT점,커피점/카페,비알콜 음료점업,부산광역시 해운대구 해운대로 189,해운대구,129.124131131116,35.1812140717086,5,-1
38940,그린앳더코너,커피점/카페,비알콜 음료점업,부산광역시 동래구 온천천로453번길 18,동래구,129.10312209693,35.1921156803658,7,-1
38941,태양을가득히,커피점/카페,비알콜 음료점업,부산광역시 기장군 장안읍 임랑해안길 31,기장군,129.26329245502,35.3175248030141,-1,-1
38957,드롭탑,커피점/카페,비알콜 음료점업,부산광역시 부산진구 중앙대로691번가길 5,부산진구,129.055871537221,35.1546153837358,10,3
38985,커피야스,커피점/카페,비알콜 음료점업,부산광역시 동래구 안남로31번길 5,동래구,129.095557381056,35.194627101201,7,-1
38992,풋풋,커피점/카페,비알콜 음료점업,부산광역시 남구 수영로219번길 57,남구,129.090250792601,35.1376622075719,0,-1
38993,묘한애,커피점/카페,비알콜 음료점업,부산광역시 부산진구 전포대로176번길 7,부산진구,129.066048804195,35.1523268661715,10,3
39024,보노커피,커피점/카페,비알콜 음료점업,부산광역시 금정구 금정로 63-1,금정구,129.086041210839,35.2303985183141,2,2
39025,사랑채,커피점/카페,비알콜 음료점업,부산광역시 북구 금곡대로 166,북구,129.012233879308,35.2263780655017,17,-1
39047,인생에프엔비드롭탑명지국제,커피점/카페,비알콜 음료점업,부산광역시 강서구 명지국제11로 47,강서구,128.923809432828,35.1046114640182,13,-1
39104,이디야커피,커피점/카페,비알콜 음료점업,부산광역시 연제구 세병로 80,연제구,129.082799303037,35.1955711242569,2,-1
39134,타이밍,커피점/카페,비알콜 음료점업,부산광역시 수영구 광남로 77,수영구,129.113539348193,35.1492135720952,0,-1
39148,스타벅스,커피점/카페,비알콜 음료점업,부산광역시 해운대구 수영강변대로 516,해운대구,129.119414691432,35.2039545311288,-1,-1
39151,브레스,커피점/카페,비알콜 음료점업,부산광역시 부산진구 복지로 85,부산진구,129.019682114854,35.1455418182917,-1,-1
39189,만나,커피점/카페,비알콜 음료점업,부산광역시 중구 해관로 84-1,중구,129.035604210344,35.1064212716091,1,1
39195,크리스티,커피점/카페,비알콜 음료점업,부산광역시 부산진구 전포대로210번길 3,부산진구,129.065705972781,35.1554937685966,10,3
39200,투썸플레이스부산타워점부산타워점,커피점/카페,비알콜 음료점업,부산광역시 중구 용두산길 35-7,중구,129.032321724334,35.1018521139658,1,1
39296,할리스커피,커피점/카페,비알콜 음료점업,부산광역시 수영구 광안해변로 251,수영구,129.121392594958,35.1552795874096,0,-1
